Stop_Name,Stop_ID,latitude,longitude
CEVIZLI MAHALLESI (SANAL DURAK),4013,37.1939395,31.7670842
KEMER LIMAN,5319,36.6005549,30.572761
AKDENIZ  BLV.-1,10001,36.83751,30.596043
AKDENIZ  BLV.-3,10003,36.842813,30.5985924
AKDENIZ BLV.-4,10004,36.8464574,30.605248
AKDENIZ BLV.-5,10005,36.8466383,30.6074822
ATATURK BLV-1,10006,36.8484143,30.6131652
ATATURK BLV-2,10008,36.8507981,30.6157256
ATATURK BLV-3,10009,36.852404,30.61749
ATATURK BLV-4,10010,36.8538271,30.6190055
ATATURK BUL-5,10011,36.8580417,30.6235708
ATATURK BLV-6,10012,36.8593284,30.6252975
ATATURK BLV-7,10013,36.8618354,30.629013
ATATURK BLV-8,10014,36.8641049,30.6324882
ISKUR KAVSAGI,10015,36.8655388,30.6346345
KONYAALTI BELEDIYESI,10016,36.8677786,30.638278
ATATURK BLV-11,10017,36.8732096,30.6422595
ATATURK BLV-12,10018,36.876039,30.6444396
ATATURK BLV-13,10020,36.8782829,30.6478874
ATATURK BLV-14,10021,36.8804051,30.6531121
LUNAPARK ,10023,36.8836076,30.6585384
ATATURK KULTUR MERKEZI,10024,36.8860915,30.6693218
SAKIP SABANCI BLV-2,10025,36.8868236,30.6729882
100.YIL BLV-4,10026,36.888378,30.6816019
GAZI LISESI ,10027,36.8888325,30.6841769
100.YIL BLV-5,10028,36.8896045,30.6883531
100.YIL BLV-6,10029,36.8900264,30.6904953
KOVANLIK MH-7,10030,37.1233123,30.5816632
ANAFARTALAR CD-1,10031,36.889688,30.6954115
KOVANLIK MH-1,10032,37.124095,30.5821313
GULLUK ,10033,36.8875479,30.6966887
ANTALYA BURDUR KARAYOLU,10034,37.1197621,30.5817813
CUMHURIYET MEYDANI,10035,36.8867325,30.7024022
ANTALYA BURDUR KARAYOLU,10036,37.1187586,30.5878593
UC KAPILAR,10037,36.8861759,30.7081808
VEYSEL KARANI CD-1,10038,37.0253116,30.6346838
ATATURK CD-2,10039,36.883709,30.7090899
ISIKLAR CD-1,10041,36.8798145,30.7088594
ORHAN GAZI CD-1,10042,36.9625392,30.6041898
ISIKLAR CD-3,10043,36.8752713,30.7122345
